名称,営業日,住所,アクセス
バグース BAGUS 西武新宿店,月～金、祝前日: 15:00～翌5:00土、日、祝日: 12:00～翌5:00,東京都新宿区歌舞伎町１-２５-３ 西武新宿駅前ビル５Ｆ,西武新宿線 西武新宿駅 正面口(歌舞伎町方面)徒歩1分/都営地下鉄 大江戸線 新宿西口駅(D3出口)徒歩4分
肴家 獅龍 新宿,月～土、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）日、祝日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都新宿区西新宿５－２５－１３　パラガイハイツ1F,都営大江戸線西新宿五丁目駅 徒歩20秒／JR新宿駅 西口 徒歩15分
かのや 新宿西口店,月: 07:00～23:00火～土: 07:30～23:00日、祝日: 09:00～23:00祝前日: 07:30～23:30,東京都新宿区西新宿１-16-11 泰和ビル1F,各線新宿駅　西口徒歩２分新宿駅から256m
ジクー jiQoo,月～金、祝前日: 15:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）土、日、祝日: 13:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都新宿区歌舞伎町１-25-3　西武新宿駅前ビル３F,新宿駅東口5分/西武新宿駅1分　新宿駅東口出てアルタ方面に進む。新宿大ガード東を過ぎて西武新宿線に向かう途中ビル3階
串八珍 西新宿店,月～金、祝前日: 11:30～14:0017:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:30）,東京都新宿区西新宿１-19-13青鈴ビル4F,新宿駅西口・南口徒歩1分
KEY BAR SEA きばらし 新宿店,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都新宿区歌舞伎町１-６-１４　第２ショーリビル４Ｆ,新宿駅東口4分/新宿3丁目駅3分個室居酒屋♪各種宴会予約受付中♪
もつ焼きモッツマン 東新宿店,月～土、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都新宿区新宿７-27-24コンフォート東新宿2F,東新宿駅エレベーター口より徒歩約1分/ＪＲ新大久保駅出口より徒歩約13分
やきとりセンター 新宿NSビル店,月～金、祝前日: 11:30～20:00 （料理L.O. 19:30 ドリンクL.O. 19:00）,東京都新宿区西新宿２-４ 新宿NSビル1F,JＲ新宿駅 徒歩8分 地下鉄丸ノ内線西新宿駅 徒歩8分 都営大江戸線都庁前駅 徒歩3分  
カラオケ 747 新宿コマ通り店,月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌1:00 ドリンクL.O. 翌4:00）,東京都新宿区歌舞伎町１‐１６‐６第６ポールスタービルＢ１Ｆ,JR新宿駅東口徒歩3分☆
E PRONTO エプロント 文化学園店,月～金、祝前日: 08:00～19:00 （料理L.O. 18:00 ドリンクL.O. 18:30）土: 10:00～19:00 （料理L.O. 18:00 ドリンクL.O. 18:30）,東京都渋谷区代々木３-14-3,JR線 新宿駅 南口より徒歩10分☆小田急線 南新宿駅より徒歩8分☆
昌平ラーメン 新宿西口店,月～金、祝前日: 11:00～翌0:00 （料理L.O. 23:20 ドリンクL.O. 23:20）土、祝日: 11:00～23:30 （料理L.O. 22:50 ドリンクL.O. 22:50）,東京都新宿区西新宿７丁目12の４,西新宿駅から徒歩2分JR新宿駅各線より徒歩4分
カラオケルーム 歌広場 西武新宿駅前店,月～日、祝日、祝前日: 11:00～翌5:00,東京都新宿区歌舞伎町１-24-2 メトロプラザ・6　 7階,都営地下鉄三田駅Ａ3出口を出て桜田通り右手。都営地下鉄三田駅より徒歩3分。
ビストロ サヴァサヴァ,火～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:00）17:00～翌0:00 （料理L.O. 23:00）,東京都新宿区新宿３-20-6　ＦＳビル4階,ＪＲ 新宿駅 東口 徒歩3分／地下鉄 新宿駅 徒歩3分／地下鉄 新宿三丁目駅 徒歩1分
